season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2023-08-18T18:30:00Z,1,SV Werder Bremen,FC Bayern München,0,4,AWAY_TEAM
2023,2023-08-19T13:30:00Z,1,Bayer 04 Leverkusen,RB Leipzig,3,2,HOME_TEAM
2023,2023-08-19T13:30:00Z,1,VfL Wolfsburg,1. FC Heidenheim 1846,2,0,HOME_TEAM
2023,2023-08-19T13:30:00Z,1,TSG 1899 Hoffenheim,SC Freiburg,1,2,AWAY_TEAM
2023,2023-08-19T13:30:00Z,1,FC Augsburg,Borussia Mönchengladbach,4,4,DRAW
2023,2023-08-19T13:30:00Z,1,VfB Stuttgart,VfL Bochum 1848,5,0,HOME_TEAM
2023,2023-08-19T16:30:00Z,1,Borussia Dortmund,1. FC Köln,1,0,HOME_TEAM
2023,2023-08-20T13:30:00Z,1,1. FC Union Berlin,1. FSV Mainz 05,4,1,HOME_TEAM
2023,2023-08-20T15:30:00Z,1,Eintracht Frankfurt,SV Darmstadt 98,1,0,HOME_TEAM
2023,2023-08-25T18:30:00Z,2,RB Leipzig,VfB Stuttgart,5,1,HOME_TEAM
2023,2023-08-26T13:30:00Z,2,SC Freiburg,SV Werder Bremen,1,0,HOME_TEAM
2023,2023-08-26T13:30:00Z,2,1. FC Köln,VfL Wolfsburg,1,2,AWAY_TEAM
2023,2023-08-26T13:30:00Z,2,VfL Bochum 1848,Borussia Dortmund,1,1,DRAW
2023,2023-08-26T13:30:00Z,2,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,2,3,AWAY_TEAM
2023,2023-08-26T13:30:00Z,2,SV Darmstadt 98,1. FC Union Berlin,1,4,AWAY_TEAM
2023,2023-08-26T16:30:00Z,2,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,AWAY_TEAM
2023,2023-08-27T13:30:00Z,2,1. FSV Mainz 05,Eintracht Frankfurt,1,1,DRAW
2023,2023-08-27T15:30:00Z,2,FC Bayern München,FC Augsburg,3,1,HOME_TEAM
2023,2023-09-01T18:30:00Z,3,Borussia Dortmund,1. FC Heidenheim 1846,2,2,DRAW
2023,2023-09-02T13:30:00Z,3,Bayer 04 Leverkusen,SV Darmstadt 98,5,1,HOME_TEAM
2023,2023-09-02T13:30:00Z,3,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1,HOME_TEAM
2023,2023-09-02T13:30:00Z,3,SV Werder Bremen,1. FSV Mainz 05,4,0,HOME_TEAM
2023,2023-09-02T13:30:00Z,3,FC Augsburg,VfL Bochum 1848,2,2,DRAW
2023,2023-09-02T13:30:00Z,3,VfB Stuttgart,SC Freiburg,5,0,HOME_TEAM
2023,2023-09-02T16:30:00Z,3,Borussia Mönchengladbach,FC Bayern München,1,2,AWAY_TEAM
2023,2023-09-03T13:30:00Z,3,Eintracht Frankfurt,1. FC Köln,1,1,DRAW
2023,2023-09-03T15:30:00Z,3,1. FC Union Berlin,RB Leipzig,0,3,AWAY_TEAM
2023,2023-09-15T18:30:00Z,4,FC Bayern München,Bayer 04 Leverkusen,2,2,DRAW
2023,2023-09-16T13:30:00Z,4,RB Leipzig,FC Augsburg,3,0,HOME_TEAM
2023,2023-09-16T13:30:00Z,4,SC Freiburg,Borussia Dortmund,2,4,AWAY_TEAM
2023,2023-09-16T13:30:00Z,4,VfL Wolfsburg,1. FC Union Berlin,2,1,HOME_TEAM
2023,2023-09-16T13:30:00Z,4,1. FSV Mainz 05,VfB Stuttgart,1,3,AWAY_TEAM
2023,2023-09-16T13:30:00Z,4,1. FC Köln,TSG 1899 Hoffenheim,1,3,AWAY_TEAM
2023,2023-09-16T16:30:00Z,4,VfL Bochum 1848,Eintracht Frankfurt,1,1,DRAW
2023,2023-09-17T13:30:00Z,4,1. FC Heidenheim 1846,SV Werder Bremen,4,2,HOME_TEAM
2023,2023-09-17T15:30:00Z,4,SV Darmstadt 98,Borussia Mönchengladbach,3,3,DRAW
2023,2023-09-22T18:30:00Z,5,VfB Stuttgart,SV Darmstadt 98,3,1,HOME_TEAM
2023,2023-09-23T13:30:00Z,5,FC Bayern München,VfL Bochum 1848,7,0,HOME_TEAM
2023,2023-09-23T13:30:00Z,5,Borussia Dortmund,VfL Wolfsburg,1,0,HOME_TEAM
2023,2023-09-23T13:30:00Z,5,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2,AWAY_TEAM
2023,2023-09-23T13:30:00Z,5,Borussia Mönchengladbach,RB Leipzig,0,1,AWAY_TEAM
2023,2023-09-23T13:30:00Z,5,FC Augsburg,1. FSV Mainz 05,2,1,HOME_TEAM
2023,2023-09-23T16:30:00Z,5,SV Werder Bremen,1. FC Köln,2,1,HOME_TEAM
